antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'mineral water'}),frozenset({'eggs'}),0.23836821757099053,0.17970937208372217,0.05092654312758299,0.21364653243847875,1.188844688294532,0.008089540423184209,1.0431576406218384
frozenset({'eggs'}),frozenset({'french fries'}),0.17970937208372217,0.1709105452606319,0.036395147313691506,0.20252225519287834,1.1849605586597352,0.005680920542416767,1.0396396139429471
frozenset({'french fries'}),frozenset({'eggs'}),0.1709105452606319,0.17970937208372217,0.036395147313691506,0.21294851794071765,1.1849605586597352,0.005680920542416767,1.0422324925556672
frozenset({'burgers'}),frozenset({'mineral water'}),0.0871883748833489,0.23836821757099053,0.024396747100386616,0.2798165137614679,1.1738834841861134,0.0036138095865314197,1.057552411270854
frozenset({'mineral water'}),frozenset({'burgers'}),0.23836821757099053,0.0871883748833489,0.024396747100386616,0.10234899328859061,1.1738834841861132,0.0036138095865314197,1.0168892122794844
frozenset({'eggs'}),frozenset({'spaghetti'}),0.17970937208372217,0.17411011865084655,0.036528462871617116,0.2032640949554896,1.1674456173515526,0.005239242775451118,1.0365917691421405
frozenset({'spaghetti'}),frozenset({'eggs'}),0.17411011865084655,0.17970937208372217,0.036528462871617116,0.20980091883614088,1.1674456173515524,0.005239242775451118,1.0380809690490882
frozenset({'green tea'}),frozenset({'spaghetti'}),0.13211571790427942,0.17411011865084655,0.026529796027196375,0.2008072653884965,1.153334837426579,0.0035271127072405116,1.0334051419406705
frozenset({'spaghetti'}),frozenset({'green tea'}),0.17411011865084655,0.13211571790427942,0.026529796027196375,0.15237366003062788,1.153334837426579,0.0035271127072405116,1.023899613746171
frozenset({'chocolate'}),frozenset({'eggs'}),0.1638448206905746,0.17970937208372217,0.03319557392347687,0.20260374288039054,1.1273966434316094,0.003751124078003657,1.0287114099072503
frozenset({'eggs'}),frozenset({'chocolate'}),0.17970937208372217,0.1638448206905746,0.03319557392347687,0.1847181008902077,1.1273966434316094,0.003751124078003657,1.0256025311274843
frozenset({'chocolate'}),frozenset({'green tea'}),0.1638448206905746,0.13211571790427942,0.023463538194907346,0.14320585842148087,1.0839426276685449,0.0018170620844741477,1.012943763243723
frozenset({'green tea'}),frozenset({'chocolate'}),0.13211571790427942,0.1638448206905746,0.023463538194907346,0.17759838546922302,1.0839426276685449,0.0018170620844741477,1.0167236597492522
frozenset({'eggs'}),frozenset({'green tea'}),0.17970937208372217,0.13211571790427942,0.025463271563791495,0.14169139465875372,1.0724794665341189,0.0017208388568232674,1.0111564496672698
frozenset({'green tea'}),frozenset({'eggs'}),0.13211571790427942,0.17970937208372217,0.025463271563791495,0.1927346115035318,1.0724794665341186,0.0017208388568232674,1.0161350153312891
frozenset({'milk'}),frozenset({'french fries'}),0.12958272230369283,0.1709105452606319,0.023730169310758567,0.18312757201646093,1.0714819950822727,0.001583115585477378,1.014955856431569
frozenset({'french fries'}),frozenset({'milk'}),0.1709105452606319,0.12958272230369283,0.023730169310758567,0.1388455538221529,1.0714819950822727,0.001583115585477378,1.010756295295893
frozenset({'green tea'}),frozenset({'mineral water'}),0.13211571790427942,0.23836821757099053,0.03106252499666711,0.23511604439959638,0.9863565151238102,-0.00042966319328777147,0.9957481482680058
frozenset({'mineral water'}),frozenset({'green tea'}),0.23836821757099053,0.13211571790427942,0.03106252499666711,0.1303131991051454,0.9863565151238101,-0.00042966319328777147,0.997927393175015
frozenset({'spaghetti'}),frozenset({'french fries'}),0.17411011865084655,0.1709105452606319,0.027596320490601255,0.15849923430321594,0.9273812453263829,-0.002160934823408244,0.9852509807912782
frozenset({'french fries'}),frozenset({'spaghetti'}),0.1709105452606319,0.17411011865084655,0.027596320490601255,0.16146645865834636,0.9273812453263829,-0.002160934823408244,0.9849217003624322
frozenset({'mineral water'}),frozenset({'french fries'}),0.23836821757099053,0.1709105452606319,0.03372883615517931,0.14149888143176736,0.8279119419810351,-0.007010805882683616,0.9657406808299611
frozenset({'french fries'}),frozenset({'mineral water'}),0.1709105452606319,0.23836821757099053,0.03372883615517931,0.19734789391575666,0.8279119419810351,-0.007010805882683616,0.9488940185364337
